"폴더","파일명패턴","기관","연도","감사분야","감사사항명","감사시작일","감사종료일","등록일","처분종류","모범사례포함","조치사항수"
"자체감사파일2","한국과학기술원_2025년 특정감사","한국과학기술원","2025","특정감사","제조 AI 빅데이터센터에 대한 민원 조사","2025-02-12","2026-06-17","2026-07-09","경징계; 통보-일반; 고발; 회수; 중징계","N","1"
"자체감사파일2","한국전력공사_2025년 종합감사","한국전력공사","2025","종합감사","시흥지사 종합감사(정연교)","2025-04-15","2025-04-25","2026-07-02","주의; 경고; 추징; 통보-일반; 시정(기타); 견책","N","1"
"자체감사파일2","한국원자력연구원_2024년 복무감사","한국원자력연구원","2024","복무감사","연구원 청원경찰 업무방해 및 복무의무 위반 여부","2024-10-11","2024-11-29","2026-06-25","징계·문책요구; 경고","N","2"
"자체감사파일2","한국원자력연구원_2024년 복무감사","한국원자력연구원","2024","복무감사","직원 근로시간 조작 및 근무태만 제보에 대한 복무 감사 실시","2024-07-17","2024-09-06","2026-06-25","통보-일반; 징계·문책요구; 경고","N","3"
"자체감사파일2","한국원자력연구원_2024년 복무감사","한국원자력연구원","2024","복무감사","2024년도 연구원 복무감사","2024-08-28","2024-11-22","2026-06-25","주의; 경고; 시정(기타); 개선요구","N","3"
"자체감사파일2","국가과학기술연구회감사위원회_2025년 특정감사","국가과학기술연구회감사위원회","2025","특정감사","국외출장비 부당수령 관련","2025-04-21","2025-04-25","2026-06-24","주의; 인사자료","N","2"
"자체감사파일2","한국건강증진개발원_2025년 특정감사","한국건강증진개발원","2025","특정감사","시간외근무 복무실태 감사","2025-06-02","2025-07-04","2026-05-27","주의; 경고; 개선요구; 통보-일반; 회수","N","1"
"자체감사파일2","울산과학기술원_2025년 복무감사","울산과학기술원","2025","복무감사","2025년 제2차 행동강령 및 복무 점검","2025-05-12","2025-05-23","2026-05-07","통보-일반; 시정(기타)","N","1"
"자체감사파일2","주택관리공단_2025년 종합감사","주택관리공단","2025","종합감사","종합감사 실시(경기남부지사 및 분당목련1 등 6개 관리소)","2025-06-16","2025-06-20","2026-04-09","통보-일반; 주의; 경고; 시정(기타)","N","4"
"자체감사파일2","한국문화예술위원회_2024년 복무감사","한국문화예술위원회","2024","복무감사","2024년 추석 명절 전후 복무기강 이행실태 특별점검","2024-09-09","2024-09-13","2026-03-25","주의; 개선요구","N","4"
"자체감사파일2","서울교통공사_2025년 복무감사","서울교통공사","2025","복무감사","2025년 공직기강 확립 상시점검","2025-02-08","2025-12-31","2026-03-17","현지시정","N","63"
"자체감사파일2","서울교통공사_2025년 복무감사","서울교통공사","2025","복무감사","제21대 대통령 선거에 따른 공직기강확립 특별점검","2025-04-21","2025-06-03","2026-03-17","현지시정","N","9"
"자체감사파일2","서울교통공사_2024년 복무감사","서울교통공사","2024","복무감사","2024년 공직기강 확립 상시점검","2024-02-17","2024-12-09","2026-03-17","현지시정; 시정(기타)","N","12"
